Date Read,Author,Title,Published,Rating
20190111,Michael Crichton,A Case of Need,1968,☆☆☆☆☆
20190111,Брет Истон Эллис,Американский психопат,1991,★★★☆☆
20190313,Peter Kim,The Hacker Playbook,2014,★★☆☆☆
20190313,Robert D. Hare,Without Conscience,1993,★★☆☆☆
20190313,Joseph Berger,The Pious Ones,2000,☆☆☆☆☆
20190313,Donald Krapohl,Fundamentals of Polygraph Practice,2015,★★★★☆
20190313,Kevin Dutton,The Wisdom of Psychopaths,1995,★★☆☆☆
20190313,Генри Чарльз Ли,История инквизиции,1888,★★★★☆
20190313,Себастьян Фитцек,Посылка,2016,★☆☆☆☆
20190313,Сю Фудзисава,Вода камень точит,2005,★★☆☆☆
20190422,Густав Майринк,Голем,1914,★★★★★
20190501,David Maurer,The Big Con,1940,★★★★☆
20190512,Paul Jarvis,Company of One,2016,☆☆☆☆☆
20190512,Майкл Панке,Выживший,2002,★★★☆☆
20190513,Дэн Симмонс,Полый человек,1992,★★★☆☆
20190525,Харуки Мураками,Убийство командора,2017,★★★☆☆
20190602,Ласло Бок,Робота рулить!,2015,★★★★☆
20190602,Robert Whitaker,Anatomy of an Epidemic,2010,☆☆☆☆☆
20190605,Felipe Castro,The begginers guide to OKRs,2012,★★★★☆
20190605,Claus O. Wilke,Fundamentals of Data Visualization,2019,★★★★☆
20190605,Alexander Maasik,Step by Step Guide to OKRs,2019,★★★★☆
20190605,Джон Доер,Міряй важливе. OKR,2017,★★★☆☆
20190607,Claudia St. John,Transforming Teams,2015,★★☆☆☆
20190629,Стівен Кінг,Мізері,1987,☆☆☆☆☆
20190707,Arthur Zhang,Data Analytics Practical Guide,2017,★★☆☆☆
20190707,Jack J. Phillips,High-Impact Human Capital Strategy,2015,★★★★☆
20190707,Rupert Morrison,Data-driven Organization Design,2015,★★★★★
20190707,Paul R. Niven,Objectives and Key Results,2016,★★★☆☆
20190707,Michael Crichton,Micro,2011,★★★★☆
20190707,Ichiro Kishimi,The Courage to Be Disliked,2013,★★★★★
20190709,Christina Wodtke,Radical Focus,2016,★★★★☆
20190801,Bruce Tulgan,Bridging the Soft Skills Gap,2015,★★★☆☆
